Time (s),Altitude (m)
41.388600000000324,117.07650000000012
41.488600000000325,116.57650000000012
41.588600000000326,116.07650000000012
41.68860000000033,115.57650000000012
41.78860000000033,115.07650000000012
41.88860000000033,114.57650000000012
41.98860000000033,114.07650000000012
42.08860000000033,113.57650000000012
42.188600000000335,113.07650000000012
42.288600000000336,112.57650000000012
42.38860000000034,112.07650000000012
42.48860000000034,111.57650000000012
42.58860000000034,111.07650000000012
42.68860000000034,110.57650000000012
42.78860000000034,110.07650000000012
42.888600000000345,109.57650000000012
42.988600000000346,109.07650000000012
43.08860000000035,108.57650000000012
43.18860000000035,108.07650000000012
43.28860000000035,107.57650000000012
43.38860000000035,107.07650000000012
43.48860000000035,106.57650000000012
43.588600000000355,106.07650000000012
43.688600000000356,105.57650000000012
43.78860000000036,105.07650000000012
43.88860000000036,104.57650000000012
43.98860000000036,104.07650000000012
44.08860000000036,103.57650000000012
44.18860000000036,103.07650000000012
44.288600000000365,102.57650000000012
44.388600000000366,102.07650000000012
44.48860000000037,101.57650000000012
44.58860000000037,101.07650000000012
44.68860000000037,100.57650000000012
44.78860000000037,100.07650000000012
44.88860000000037,99.57650000000012
44.988600000000375,99.07650000000012
45.088600000000376,98.57650000000012
45.18860000000038,98.07650000000012
45.28860000000038,97.57650000000012
45.38860000000038,97.07650000000012
45.48860000000038,96.57650000000012
45.58860000000038,96.07650000000012
45.688600000000385,95.57650000000012
45.788600000000386,95.07650000000012
45.88860000000039,94.57650000000012
45.98860000000039,94.07650000000012
46.08860000000039,93.57650000000012
46.18860000000039,93.07650000000012
46.28860000000039,92.57650000000012
46.388600000000395,92.07650000000012
46.488600000000396,91.57650000000012
46.5886000000004,91.07650000000012
46.6886000000004,90.57650000000012
46.7886000000004,90.07650000000012
46.8886000000004,89.57650000000012
46.9886000000004,89.07650000000012
47.088600000000405,88.57650000000012
47.188600000000406,88.07650000000012
47.28860000000041,87.57650000000012
47.38860000000041,87.07650000000012
47.48860000000041,86.57650000000012
47.58860000000041,86.07650000000012
47.68860000000041,85.57650000000012
47.788600000000415,85.07650000000012
47.888600000000416,84.57650000000012
47.98860000000042,84.07650000000012
48.08860000000042,83.57650000000012
48.18860000000042,83.07650000000012
48.28860000000042,82.57650000000012
48.38860000000042,82.07650000000012
48.488600000000424,81.57650000000012
48.588600000000426,81.07650000000012
48.68860000000043,80.57650000000012
48.78860000000043,80.07650000000012
48.88860000000043,79.57650000000012
48.98860000000043,79.07650000000012
49.08860000000043,78.57650000000012
49.188600000000434,78.07650000000012
49.288600000000436,77.57650000000012
49.38860000000044,77.07650000000012
49.48860000000044,76.57650000000012
49.58860000000044,76.07650000000012
49.68860000000044,75.57650000000012
49.78860000000044,75.07650000000012
49.888600000000444,74.57650000000012
49.988600000000446,74.07650000000012
50.08860000000045,73.57650000000012
50.18860000000045,73.07650000000012
50.28860000000045,72.57650000000012
50.38860000000045,72.07650000000012
50.48860000000045,71.57650000000012
